Date_ymd,mean_temp,max_temp,min_temp,mean_pH,max_pH,min_pH,mean_SpCond,max_SpCond,min_SpCond,mean_Turbidity,max_Turbidity,min_Turbidity,mean_CHLa,max_CHLa,min_CHLa,mean_ODOsat,max_ODOsat,min_ODOsat,mean_ODOmgL,max_ODOmgL,min_ODOmgL
2009-02-08,6.37625,8.02,5.18,7.8429166666666665,7.99,7.65,192.32291666666666,195,184,17.371875,22.4,14,4.171875,6.3,3,108.22177083333334,115.47,102.81,NA,-Inf,Inf
2009-02-09,7.200520833333333,8.01,6.33,7.8175,7.9,7.65,190.15625,192,185,19.963541666666668,25.3,14.7,4.732291666666667,6.1,3.6,108.51875,112.74,104.28,NA,-Inf,Inf
2009-02-10,7.776041666666667,9.09,6.88,7.784583333333333,7.88,7.65,190.14583333333334,192,183,24.228125,32.7,17,5.452083333333333,8.2,3.7,107.6703125,111.05,104.49,NA,-Inf,Inf
2009-02-11,9.669895833333333,11.83,8.04,7.796458333333334,7.9,7.73,192.26041666666666,198,187,38.25208333333333,108.7,20.8,6.889583333333333,14.6,4.6,108.1553125,112.34,105.33,NA,-Inf,Inf
2009-02-12,10.978541666666667,11.97,10.03,7.815416666666667,7.88,7.73,202.21875,220,192,89.67708333333333,261.7,39.9,9.891666666666667,19.3,6.4,104.49791666666667,107.27,101.19,NA,-Inf,Inf
2009-02-13,9.899895833333334,10.77,9.07,7.8429166666666665,7.94,7.7,210.27083333333334,213,204,39.740625,60.9,27.8,7.183333333333334,9.1,5.8,102.50729166666666,106.81,97.97,NA,-Inf,Inf
2009-02-14,9.531875,10.81,8.83,7.878333333333333,7.99,7.78,210.48958333333334,212,199,26.685416666666665,34.1,22.2,6.947916666666667,8.8,5.2,103.94041666666666,114.46,98.38,NA,-Inf,Inf
2009-02-15,9.23875,9.87,8.58,7.90375,8.06,7.72,210.46875,211,193,22.670833333333334,26.6,18.9,7.520833333333333,9.7,6,104.73302083333333,112.54,98.99,NA,-Inf,Inf
2009-02-16,8.707083333333333,9.12,8.08,7.9621875,8.2,7.79,211.66666666666666,214,203,20.188541666666666,29.2,17,8.3,10,6.3,105.99354166666667,114,101.81,NA,-Inf,Inf
2009-02-17,7.837291666666666,8.97,6.82,8.061145833333333,8.34,7.88,213.83333333333334,217,206,17.453125,30.3,14,8.801041666666666,11.3,6.8,107.55635416666667,121.46,101.1,NA,-Inf,Inf
2009-02-18,7.1613541666666665,7.78,6.56,8.023958333333333,8.12,7.88,215.73958333333334,218,207,19.119791666666668,53.8,14,9.926041666666666,12.1,7.6,106.4515625,109.29,103.31,NA,-Inf,Inf
2009-02-19,7.852083333333333,9.06,7.04,8.121770833333333,8.43,7.85,219.70833333333334,238,210,22.340625,47.9,14.8,11.592708333333333,14.9,8.8,109.53010416666666,118.64,103.63,NA,-Inf,Inf
2009-02-20,6.978645833333333,8.12,5.79,8.2205208333333335,8.6,7.85,233.60416666666666,247,212,18.453125,27.6,13.4,10.64375,13.1,6.8,108.9109375,118.21,99.47,NA,-Inf,Inf
2009-02-21,6.61,7.91,4.34,8.303333333333333,8.61,8.07,242.26041666666666,246,230,14.016666666666666,19.7,11.7,8.817708333333334,10.9,6.8,112.06583333333333,122.85,101.24,NA,-Inf,Inf
2009-02-22,6.7804166666666665,7.19,5.95,8.187604166666667,8.35,7.98,243.89583333333334,246,237,16.254166666666666,42.8,12.2,9.329166666666667,12.3,7,109.7775,114.25,105.34,NA,-Inf,Inf
2009-02-23,5.601041666666666,6.29,4.41,8.219791666666667,8.5,8.05,242.57291666666666,245,239,15.553125,22.7,10.8,9.259375,12.4,6.7,109.49416666666667,118.99,102.59,NA,-Inf,Inf
2009-02-24,5.346666666666667,6.58,3.91,8.2908333333333335,8.46,8.15,240.88541666666666,243,236,13.560416666666667,39.6,10.8,8.465625,11.1,5.9,112.48666666666666,120.68,105.71,NA,-Inf,Inf
2009-02-25,6.0503125,7.36,4.39,8.338020833333333,8.59,8.13,239.45833333333334,241,231,14.517708333333333,45.1,11.2,9.182291666666666,12.8,6.3,115.16979166666667,123.53,106.95,NA,-Inf,Inf
2009-02-26,7.1415625,8.62,6.02,8.440833333333334,8.69,8.17,238.89583333333334,240,234,16.944791666666667,25.3,13.1,11.4875,14.2,8.4,119.57291666666667,127.38,110.79,NA,-Inf,Inf
2009-02-27,9.037604166666666,11.3,7.36,8.374791666666667,8.64,8.13,238.125,240,233,28.980208333333334,113.8,15.4,14.604166666666666,27.5,9.9,119.40489583333333,125.8,114.29,NA,-Inf,Inf
2009-02-28,9.676458333333333,10.95,8.4,8.208020833333332,8.37,8.04,238.19791666666666,242,227,23.878125,31,16.6,16.710416666666667,19.5,13.2,115.59302083333333,124.67,110.37,NA,-Inf,Inf
